England;2000;19;Fervent Flash [IE/IE 1998];m;Frightful Flash *;Murtys Fancy;3;14.00;470 m
England;2000;19;So Breezy [IE/IE 1998];m;Polnoon Chief;Too Breezy;4;14.00;646 m
England;2000;20;Rio Riccardo [IE/IE 1998];m;Trade Official;Kylies Quest;4;13.50;480 m
England;2000;21;Glenholm Duke [IE/IE 1998];m;Lassa Java;Quare Lady;2;13.00;472 m
England;2000;21;Tuttles Minister [IE/UK 1997];m;Alpine Minister;Tuttles Snowie;3;13.00;460 m
England;2000;22;Navigation Lad [IE/IE 1998];m;Lassa Java;Suirside Lass;3;12.50;473 m
England;2000;23;Deerfield Sunset [IE/IE 1996];m;Vintage Prince;Sunset Blonde;5;12.00;484 m
England;2000;24;Knockeevan Tony [IE/IE 1998];m;Highway Leader;Citizen Angela;2;11.50;420 m
England;2000;25;Gold Bullet [UK/UK 1998];m;Spiral Nikita;Killila Place;3;11.00;480 m
England;2000;25;Drumsna Cross [IE/IE 1997];f;Asbury Park;Drumsna Beauty;5;11.00;706 m
England;2000;25;Knappogue Oak [IE/IE 1997];f;Frightful Flash *;Dartfield Lass;2;11.00;687 m
England;2000;25;Woodbrook Wine [IE/IE 1997];f;Scoby Deas;Redwood Katie;3;11.00;566 m
England;2000;25;Sonas Phantom [IE/IE 1998];m;Phantom Flash;Druids Trasnog*;4;11.00;610 m
England;2000;26;Glowing Wave [IE/IE 1997];m;Frightful Flash *;Country Star;2;10.50;412 m
England;2000;26;Haut Brion [IE/IE 1997];m;Boyne Walk;Still Seeker;3;10.50;393 m
England;2000;27;Dixies Point [IE/IE 1998];m;Droopys Fintan;Sparky Gale;1;10.00;500 m
England;2000;27;Countrywide Tams [IE/IE 1999];f;Lassa Java;Persian Spark;2;10.00;480 m
England;2000;27;Roswell Flyer [IE/IE 1998];m;Mustang Jack;Bangor Return;1;10.00;450 m
England;2000;27;Droopys Ramon [IE/IE 1998];m;Come On Ranger;Droopys Heather;1;10.00;462 m
England;2000;28;Ardera Laura [IE/IE 1998];f;Right Wish;Clocks Perry;1;9.00;575 m
England;2000;28;Bubbly Prince [IE/IE 1997];m;Frightful Flash *;Kens Dilemma;2;9.00;732 m
England;2000;28;Hollinwood Poppy [UK/IU 1996];f;Dempsey Duke;Hollinwood Major;3;9.00;860 m
England;2000;28;Im Gorgeous [UK/UK 1997];m;New Level;Hello Gorgeous;2;9.00;375 m
England;2000;28;Toblermorey Boy [IU/IU 1998];m;Spiral Nikita;Lemon Polly;1;9.00;480 m
England;2000;28;Adrigole Express [IE/IE 1997];m;Tip Top *;Saigon Miss;1;9.00;250 m
England;2000;29;Derbay Flyer [IE/UK 1997];m;Ayr Flyer;Brown Missile;5;8.50;476 m
England;2000;29;Respect [UK/UK 1997];m;New Level;Hello Gorgeous;3;8.50;352 m
England;2000;29;Toms the One [IU/IU 1998];m;Toms the Best;Celtic Lady;3;8.50;480 m
England;2000;30;Benro Borris [IE/IE 1997];m;Shanless Slippy;Benro Belle;2;8.00;575 m
England;2000;30;Farloe Cobbler [IE/IE 1997];m;Cry Dalcash;Farloe Post;4;8.00;500 m
England;2000;30;Knockanroe Rover [IE/IE 1997];m;Mountleader Peer;Seanos Miss;2;8.00;480 m
England;2000;30;Lenson Ladson [IE/UK 1998];m;Lenson Lad;Blonde Returns;2;8.00;689 m
England;2000;31;Lenson Eddie [IE/IE 1996];m;Perfect Whisper;Culbidagh Rose;2;7.50;460 m
England;2000;32;Droopys Vieri [IE/IE 1998];m;Top Honcho *;Droopys Fergie;2;7.00;474 m
England;2000;32;Countrywide Star [IE/IE 1998];f;Shanakyle Lad;Thomond Pride;4;7.00;640 m
England;2000;32;Rathoona Champ [IE/IE 1997];m;Ready About NGA *;Rathoona Lass;3;7.00;445 m
England;2000;32;Kinda Swell [IE/IE 1998];f;Summerhill Gift;Me and Molly;2;7.00;477 m
England;2000;33;Second Prince [IU 1997];m;Slaneyside Hare;Miss Sandra;2;6.50;475 m
England;2000;33;Dilemmas Lad [IE/UK 1997];m;Frightful Flash *;Kens Dilemma;3;6.50;480 m
England;2000;33;Jaspers Boy [IE/UK 1995];m;Castlelyons Gem;Polnoon Lane;2;6.50;460 m
England;2000;34;Catunda Leonardo [IE/IE 1997];m;Moaning Lad;Catunda Sarah;1;6.00;460 m
England;2000;34;Lift Up Joe [IE/UK 1998];m;Staplers Jo;Lift Up;1;6.00;440 m
England;2000;34;Broadland Boy [IE/IE 1997];m;Scoby Deas;Redwood Katie;2;6.00;482 m
England;2000;34;Bossy Wade [IE/IE 1997];m;Westmead Merlin;Code Dancer;3;6.00;543 m
England;2000;34;Carnalecka Chief [IU/IU 1996];m;Polnoon Chief;Corpo Election;2;6.00;442 m
England;2000;34;Gambling Man [IE/IE 1997];m;Shanless Slippy;Franks Girl;2;6.00;372 m
England;2000;34;Gift of Gold [IU/IU 1996];f;Knockdrinna Hill;Moral Mistress;2;6.00;917 m
England;2000;34;Fast and Easy [IU/IU 1997];f;Slaneyside Hare;Anticipation;2;6.00;592 m
England;2000;34;Larkhill Oak [IE/IE 1999];m;Larkhill Jo;Annies Bullet;1;6.00;450 m
England;2000;34;No Matter How [IE/IE 1998];m;Slaneyside Hare;Here Comes Riasa;3;6.00;470 m
England;2000;34;Spring Time [IE/IE 1996];f;Vintage Prince;Meantime;3;6.00;480 m
England;2000;34;Salvatores Boy [IE/IE 1998];m;Some Picture;Thats Becky;2;6.00;425 m
England;2000;34;Calypso Cole [IE/IU 1997];m;Thorgil Tex *;Wath Poppy;1;6.00;480 m
England;2000;34;Nearly An Angel [IE/IE 1997];m;Deenside Joker;Sallagh Sixty;2;6.00;545 m
England;2000;34;Sonic Flight [UK/IE 1998];m;Frightful Flash *;Westmead Flight;1;6.00;480 m
England;2000;34;Tessas Dilemma [IE/IE 1997];f;Frightful Flash *;Kens Dilemma;4;6.00;623 m
England;2000;34;Wrenbury Rin Tin [IU/IU 1998];m;Lenson Lad;Wrenbury Silver;1;6.00;465 m
England;2000;34;Upade Joe [IE/IE 1998];m;Vintage Prince;Trendys Girl;3;6.00;481 m
England;2000;34;Westmead Striker [UK/IU 1997];m;Daleys Denis;Westmead Chick;2;6.00;480 m
England;2000;35;Basils Picture [IE/IE 1998];m;Some Picture;Lulus Zoe;3;5.50;480 m
England;2000;35;Steer the Way [IE/IE 1998];f;Polnoon Chief;Park Away;2;5.50;495 m
England;2000;35;Sundar Storm [UK/IU 1998];f;Toms the Best;Westmead Lynx;2;5.50;512 m
England;2000;36;Black Return [IE/IE 1997];m;Thorgil Tex *;Sadlers Return;3;5.00;640 m
England;2000;36;Best Black [IE/IE 1996];m;Leaders Best;Barely Black;1;5.00;475 m
England;2000;36;Cachem Mac [IU/IU 1998];m;Right Move;Free Kick;1;5.00;462 m
England;2000;36;Cardigan [IE/IE 1998];m;Top Honcho *;Queen Panther;3;5.00;478 m
USA;2000;1;Shootyz Groove [US/US 1997];m;P's Raising Cain;MJ's Shadow;18;79.00;511 m
USA;2000;2;Craigie Prancer [US/US 1998];m;Flying Train;Craigie C Riley;24;71.50;510 m
USA;2000;3;Simoom [US/US 1997];f;Abita Simon;Okie Sunshine;34;70.00;587 m
USA;2000;4;Dominator [US/US 1997];m;P's Raising Cain;Spect So;27;63.00;577 m
USA;2000;5;Oneco Burntoast [US/US 1997];f;Greys Statesman;Oneco Hugnkiss;23;58.50;533 m
USA;2000;6;Be My Bubba [US/US 1997];m;P's Raising Cain;Jody Jo Di;16;57.50;503 m
USA;2000;6;JB Junior B [US/US 1998];m;P's Raising Cain;Vanessa Let Go *;19;57.50;503 m
USA;2000;7;EJ's Instigator [US/US 1998];m;Oswald Cobblepot;Uh Huh Uh Huh;12;55.00;571 m
USA;2000;8;Cairo Torch [US/US 1998];m;Molotov;Sunbeam Surfer;12;52.00;588 m
USA;2000;9;BD's Phillip [US/US 1998];m;Oshkosh Racey;Hazardous Curves;19;51.00;503 m
USA;2000;10;Osceola Thunder [US/US 1998];m;Mahogany Fire;Manzanita;23;50.00;566 m
USA;2000;11;Beyond the Limit [US/US 1997];m;Shiver Me Timber;Sri Lanka;14;49.00;576 m
USA;2000;12;Okie Bootsy [US/US 1998];m;Heavy Z;Okie Robin;14;47.00;605 m
USA;2000;13;Abita Unity [US/US 1998];f;Saddlebred;Susie B Kick;16;46.50;503 m
USA;2000;14;BD Maximillion [US/US 1997];m;Task Laser Beam;Mega Din;23;45.00;564 m
USA;2000;14;MMC Moving On Up [US/US 1997];m;Evening Memory;Speedy Steffi;10;45.00;560 m
